
REPORT DATE,12/18/13 01:34 EST
FILE SIZES TESTED (MB),500
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)
02:05:39,02:05:56,17,jtg-test3,129.74.246.249,500,2048,WRITE,31.7,253.6
END TEST 5

02:06:10,02:06:20,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.3,426.4
02:06:12,02:06:26,14,jtg-test3,129.74.246.249,500,2048,WRITE,39.3,314.4
END TEST 5

02:06:42,02:06:53,11,jtg-test4,129.74.246.249,500,2048,WRITE,48.1,384.8
02:06:45,02:06:56,11,jtg-test3,129.74.246.249,500,2048,WRITE,47.1,376.8
END TEST 5

02:07:15,02:07:25,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.9,431.2
02:07:18,02:07:31,13,jtg-test3,129.74.246.249,500,2048,WRITE,39.9,319.2
END TEST 5

02:07:47,02:07:57,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.3,426.4
02:07:50,02:08:02,12,jtg-test3,129.74.246.249,500,2048,WRITE,41.6,332.8
END TEST 5

02:08:19,02:08:29,10,jtg-test4,129.74.246.249,500,2048,WRITE,55.7,445.6
02:08:21,02:08:37,16,jtg-test3,129.74.246.249,500,2048,WRITE,33.7,269.6
END TEST 5

02:08:51,02:09:01,10,jtg-test4,129.74.246.249,500,2048,WRITE,54.7,437.6
02:08:53,02:09:06,13,jtg-test3,129.74.246.249,500,2048,WRITE,41.1,328.8
END TEST 5

02:09:23,02:09:33,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.8,422.4
02:09:25,02:09:37,12,jtg-test3,129.74.246.249,500,2048,WRITE,41.4,331.2
END TEST 5

02:09:55,02:10:05,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.8,406.4
02:09:57,02:10:13,16,jtg-test3,129.74.246.249,500,2048,WRITE,33.7,269.6
END TEST 5

02:10:27,02:10:37,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.7,413.6
02:10:30,02:10:44,14,jtg-test3,129.74.246.249,500,2048,WRITE,37.8,302.4
END TEST 5

02:10:59,02:11:10,11,jtg-test4,129.74.246.249,500,2048,WRITE,50.0,400.0
02:11:03,02:11:21,18,jtg-test3,129.74.246.249,500,2048,WRITE,29.4,235.2
END TEST 5

02:11:32,02:11:42,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.5,420.0
02:11:35,02:11:48,13,jtg-test3,129.74.246.249,500,2048,WRITE,42.6,340.8
END TEST 5

02:12:04,02:12:14,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.7,421.6
02:12:07,02:12:22,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.0,280.0
END TEST 5

02:12:36,02:12:46,10,jtg-test4,129.74.246.249,500,2048,WRITE,55.9,447.2
02:12:38,02:12:52,14,jtg-test3,129.74.246.249,500,2048,WRITE,39.2,313.6
END TEST 5

02:13:08,02:13:18,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.1,408.8
02:13:11,02:13:23,12,jtg-test3,129.74.246.249,500,2048,WRITE,43.5,348.0
END TEST 5

02:13:40,02:13:51,11,jtg-test4,129.74.246.249,500,2048,WRITE,50.2,401.6
02:13:43,02:13:55,12,jtg-test3,129.74.246.249,500,2048,WRITE,44.3,354.4
END TEST 5

02:14:13,02:14:24,11,jtg-test4,129.74.246.249,500,2048,WRITE,51.7,413.6
02:14:16,02:14:31,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.0,280.0
END TEST 5

02:14:46,02:14:56,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.5,404.0
02:14:48,02:15:00,12,jtg-test3,129.74.246.249,500,2048,WRITE,44.3,354.4
END TEST 5

02:15:19,02:15:29,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.3,426.4
02:15:20,02:15:35,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.7,285.6
02:18:11,02:18:21,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.5,428.0
02:18:13,02:18:30,17,jtg-test3,129.74.246.249,500,2048,WRITE,31.6,252.8
END TEST 5,,,,,,,,=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))

02:18:43,02:18:53,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.9,407.2
02:18:44,02:19:02,18,jtg-test3,129.74.246.249,500,2048,WRITE,30.2,241.6
END TEST 6,,,,,,,,=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))

02:19:15,02:19:25,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.8,430.4
02:19:17,02:19:29,12,jtg-test3,129.74.246.249,500,2048,WRITE,42.3,338.4
END TEST 7,,,,,,,,=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))

02:19:48,02:19:50,02:19:57,7,jtg-test3,129.74.246.249,500,2048,WRITE,79.8,638.4
02:20:08,20,jtg-test4,129.74.246.249,500,2048,WRITE,26.7,213.6
