
REPORT DATE,12/18/13 01:34 EST
FILE SIZES TESTED (MB),500
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)
02:27:53,02:28:03,10,jtg-test4,129.74.246.249,500,2048,WRITE,54.2,433.6
02:27:56,02:28:11,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.4,283.2
,,,,,,,RESULT # 1,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:28:25,02:28:35,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.1,416.8
02:28:28,02:28:51,23,jtg-test3,129.74.246.249,500,2048,WRITE,22.2,177.6
,,,,,,,RESULT # 2,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:33:24,02:33:37,13,jtg-test4,129.74.246.249,500,2048,WRITE,43.1,344.8
02:33:27,02:33:37,10,jtg-test3,129.74.246.249,500,2048,WRITE,50.1,400.8
,,,,,,,RESULT # 1,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:33:59,02:34:08,9,jtg-test4,129.74.246.249,500,2048,WRITE,56.1,448.8
02:34:01,02:34:20,19,jtg-test3,129.74.246.249,500,2048,WRITE,28.2,225.6
,,,,,,,RESULT # 2,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

