
REPORT DATE,12/18/13 01:34 EST
FILE SIZES TESTED (MB),500
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)
02:27:53,02:28:03,10,jtg-test4,129.74.246.249,500,2048,WRITE,54.2,433.6
02:27:56,02:28:11,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.4,283.2
,,,,,,,RESULT # 1,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:28:25,02:28:35,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.1,416.8
02:28:28,02:28:51,23,jtg-test3,129.74.246.249,500,2048,WRITE,22.2,177.6
,,,,,,,RESULT # 2,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:33:24,02:33:37,13,jtg-test4,129.74.246.249,500,2048,WRITE,43.1,344.8
02:33:27,02:33:37,10,jtg-test3,129.74.246.249,500,2048,WRITE,50.1,400.8
,,,,,,,RESULT # 1,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:33:59,02:34:08,9,jtg-test4,129.74.246.249,500,2048,WRITE,56.1,448.8
02:34:01,02:34:20,19,jtg-test3,129.74.246.249,500,2048,WRITE,28.2,225.6
,,,,,,,RESULT # 2,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:38:42,02:38:52,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.6,420.8
02:38:44,02:39:05,21,jtg-test3,129.74.246.249,500,2048,WRITE,25.9,207.2
,,,,,,,RESULT # 1,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:39:14,02:39:24,10,jtg-test4,129.74.246.249,500,2048,WRITE,55.5,444.0
02:39:17,02:39:33,16,jtg-test3,129.74.246.249,500,2048,WRITE,31.8,254.4
,,,,,,,RESULT # 2,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:39:46,02:39:58,12,jtg-test4,129.74.246.249,500,2048,WRITE,44.7,357.6
02:39:49,02:40:01,12,jtg-test3,129.74.246.249,500,2048,WRITE,45.6,364.8
,,,,,,,RESULT # 3,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:40:20,02:40:32,12,jtg-test4,129.74.246.249,500,2048,WRITE,45.6,364.8
02:40:22,02:40:40,18,jtg-test3,129.74.246.249,500,2048,WRITE,30.5,244.0
,,,,,,,RESULT # 4,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:40:54,02:41:05,11,jtg-test4,129.74.246.249,500,2048,WRITE,48.1,384.8
02:40:56,02:41:11,15,jtg-test3,129.74.246.249,500,2048,WRITE,34.5,276.0
,,,,,,,RESULT # 5,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:41:27,02:41:29,02:41:36,7,jtg-test3,129.74.246.249,500,2048,WRITE,75.8,606.4
02:41:45,18,jtg-test4,129.74.246.249,500,2048,WRITE,29.8,238.4
,,,,,,,RESULT # 6,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:42:07,02:42:17,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.8,422.4
02:42:08,02:42:23,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.7,285.6
,,,,,,,RESULT # 7,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:42:39,02:42:48,9,jtg-test4,129.74.246.249,500,2048,WRITE,55.9,447.2
02:42:41,02:42:59,18,jtg-test3,129.74.246.249,500,2048,WRITE,28.8,230.4
,,,,,,,RESULT # 8,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:43:10,02:43:20,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.4,427.2
02:43:12,02:43:24,12,jtg-test3,129.74.246.249,500,2048,WRITE,44.6,356.8
,,,,,,,RESULT # 9,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:43:42,02:43:52,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.5,420.0
02:43:45,02:43:59,14,jtg-test3,129.74.246.249,500,2048,WRITE,36.6,292.8
,,,,,,,RESULT # 10,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:44:15,02:44:27,12,jtg-test4,129.74.246.249,500,2048,WRITE,45.1,360.8
02:44:17,02:44:35,18,jtg-test3,129.74.246.249,500,2048,WRITE,29.6,236.8
,,,,,,,RESULT # 11,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:44:49,02:44:59,10,jtg-test4,129.74.246.249,500,2048,WRITE,57.0,456.0
02:44:51,02:45:03,12,jtg-test3,129.74.246.249,500,2048,WRITE,45.5,364.0
,,,,,,,RESULT # 12,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:45:21,02:45:31,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.9,407.2
02:45:23,02:45:38,15,jtg-test3,129.74.246.249,500,2048,WRITE,36.7,293.6
,,,,,,,RESULT # 13,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:45:53,02:46:04,11,jtg-test4,129.74.246.249,500,2048,WRITE,48.2,385.6
02:45:55,02:46:11,16,jtg-test3,129.74.246.249,500,2048,WRITE,32.7,261.6
,,,,,,,RESULT # 14,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:46:26,02:46:28,02:46:35,7,jtg-test3,129.74.246.249,500,2048,WRITE,73.8,590.4
02:46:44,18,jtg-test4,129.74.246.249,500,2048,WRITE,30.1,240.8
,,,,,,,RESULT # 15,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:47:06,02:47:16,10,jtg-test4,129.74.246.249,500,2048,WRITE,49.6,396.8
02:47:08,02:47:25,17,jtg-test3,129.74.246.249,500,2048,WRITE,30.8,246.4
,,,,,,,RESULT # 16,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:47:38,02:47:48,10,jtg-test4,129.74.246.249,500,2048,WRITE,55.6,444.8
02:47:40,02:47:59,19,jtg-test3,129.74.246.249,500,2048,WRITE,29.0,232.0
,,,,,,,RESULT # 17,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:48:10,02:48:12,02:48:19,7,jtg-test3,129.74.246.249,500,2048,WRITE,69.0,552.0
02:48:31,21,jtg-test4,129.74.246.249,500,2048,WRITE,25.2,201.6
,,,,,,,RESULT # 18,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:48:53,02:49:03,10,jtg-test4,129.74.246.249,500,2048,WRITE,55.8,446.4
02:48:55,02:49:09,14,jtg-test3,129.74.246.249,500,2048,WRITE,38.1,304.8
,,,,,,,RESULT # 19,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:49:25,02:49:35,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.3,426.4
02:49:27,02:49:44,17,jtg-test3,129.74.246.249,500,2048,WRITE,29.6,236.8
,,,,,,,RESULT # 20,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:49:57,02:50:07,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.8,414.4
02:49:58,02:50:10,12,jtg-test3,129.74.246.249,500,2048,WRITE,44.7,357.6
,,,,,,,RESULT # 21,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:50:29,02:50:39,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.8,406.4
02:50:30,02:50:45,15,jtg-test3,129.74.246.249,500,2048,WRITE,37.6,300.8
,,,,,,,RESULT # 22,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:51:01,02:51:12,11,jtg-test4,129.74.246.249,500,2048,WRITE,50.3,402.4
02:51:04,02:51:20,16,jtg-test3,129.74.246.249,500,2048,WRITE,32.6,260.8
,,,,,,,RESULT # 23,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))))"

02:51:34,02:51:44,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.7,421.6
02:51:37,02:51:53,16,jtg-test3,129.74.246.249,500,2048,WRITE,32.4,259.2
