
REPORT DATE,12/19/13 23:42 EST
FILE SIZES TESTED (MB),1000
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)
00:00:49,00:01:12,23,jtg-test3,129.74.246.249,1000,2048,WRITE,46.4,371.2
00:01:16,00:01:55,39,jtg-test1,129.74.246.249,1000,2048,WRITE,27.6,220.8
,,,,,,,RESULT # 9,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

00:03:03,00:03:23,20,jtg-test4,129.74.246.249,1000,2048,WRITE,51.7,413.6
00:03:05,00:03:47,42,jtg-test3,129.74.246.249,1000,2048,WRITE,24.7,197.6
00:03:32,00:04:09,37,jtg-test1,129.74.246.249,1000,2048,WRITE,28.3,226.4
,,,,,,,RESULT # 10,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

00:05:19,00:05:38,19,jtg-test3,129.74.246.249,1000,2048,WRITE,56.4,451.2
00:05:17,00:05:48,31,jtg-test4,129.74.246.249,1000,2048,WRITE,34.2,273.6
00:05:56,00:06:32,36,jtg-test1,129.74.246.249,1000,2048,WRITE,29.5,236.0
,,,,,,,RESULT # 11,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

00:07:40,00:08:00,20,jtg-test4,129.74.246.249,1000,2048,WRITE,52.5,420.0
00:07:42,00:08:09,27,jtg-test3,129.74.246.249,1000,2048,WRITE,39.5,316.0
00:08:09,00:08:44,35,jtg-test1,129.74.246.249,1000,2048,WRITE,29.6,236.8
,,,,,,,RESULT # 12,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

00:09:52,00:10:12,20,jtg-test4,129.74.246.249,1000,2048,WRITE,53.1,424.8
00:09:55,00:10:22,27,jtg-test3,129.74.246.249,1000,2048,WRITE,39.3,314.4
00:10:20,00:10:57,37,jtg-test1,129.74.246.249,1000,2048,WRITE,28.8,230.4
,,,,,,,RESULT # 13,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

00:12:05,00:12:27,22,jtg-test4,129.74.246.249,1000,2048,WRITE,49.0,392.0
00:12:08,00:12:40,33,jtg-test3,129.74.246.249,1000,2048,WRITE,32.0,256.0
00:12:35,00:13:12,37,jtg-test1,129.74.246.249,1000,2048,WRITE,28.3,226.4
,,,,,,,RESULT # 14,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

00:14:22,00:14:37,15,jtg-test3,129.74.246.249,1000,2048,WRITE,73.4,587.2
00:14:20,00:14:51,31,jtg-test4,129.74.246.249,1000,2048,WRITE,33.9,271.2
